15151,	-0.01,	0.02	,0.00	,0.00	,0.00
15256,	-0.00,	0.02	,0.00	,0.00	,0.00
15360,	0.01,	0.02	,0.01	,0.05	,0.08
15465,	0.01,	0.03	,0.02	,0.10	,0.13
15569,	0.00,	0.04	,0.03	,0.14	,0.15
15675,	0.00,	0.06	,0.05	,0.17	,0.18
15777,	0.00,	0.07	,0.06	,0.21	,0.22
15881,	-0.00,	0.09	,0.08	,0.23	,0.26
15985,	-0.01,	0.12	,0.11	,0.26	,0.28
16089,	-0.01,	0.14	,0.13	,0.26	,0.24
16193,	-0.02,	0.16	,0.16	,0.23	,0.23
16297,	-0.02,	0.18	,0.18	,0.22	,0.23
16403,	-0.02,	0.20	,0.20	,0.22	,0.22
16505,	-0.02,	0.22	,0.22	,0.18	,0.21
16609,	-0.03,	0.24	,0.23	,0.13	,0.14
16713,	-0.02,	0.25	,0.25	,0.15	,0.17
16817,	-0.02,	0.26	,0.26	,0.17	,0.19
16922,	-0.02,	0.28	,0.28	,0.17	,0.18
17026,	-0.02,	0.30	,0.30	,0.18	,0.21
17131,	-0.02,	0.31	,0.32	,0.19	,0.19
17235,	-0.02,	0.33	,0.33	,0.18	,0.19
17341,	-0.02,	0.35	,0.35	,0.17	,0.17
17443,	-0.03,	0.36	,0.37	,0.15	,0.15
17547,	-0.02,	0.38	,0.38	,0.13	,0.13
17651,	-0.03,	0.39	,0.39	,0.10	,0.12
17755,	-0.03,	0.40	,0.40	,0.05	,0.05
17860,	-0.03,	0.40	,0.40	,0.00	,0.00
17964,	-0.04,	0.40	,0.40	,-0.06,	-0.09
18069,	-0.04,	0.38	,0.38	,-0.17,	-0.19
18173,	-0.03,	0.37	,0.36	,-0.23,	-0.24
18279,	-0.02,	0.34	,0.34	,-0.31,	-0.31
18381,	-0.01,	0.31	,0.31	,-0.31,	-0.34
18485,	-0.01,	0.28	,0.28	,-0.32,	-0.31
18589,	0.00,	0.25	,0.24	,-0.36,	-0.36
18693,	0.01,	0.22	,0.21	,-0.35,	-0.35
18798,	0.01,	0.18	,0.18	,-0.34,	-0.34
18902,	0.02,	0.15	,0.15	,-0.31,	-0.32
19007,	0.02,	0.12	,0.12	,-0.30,	-0.30
19111,	0.02,	0.10	,0.09	,-0.28,	-0.31
19217,	0.02,	0.07	,0.06	,-0.27,	-0.28
19319,	0.02,	0.05	,0.04	,-0.28,	-0.28
19423,	0.02,	0.02	,0.02	,-0.24,	-0.26
19527,	0.02,	-0.00,	-0.01	,-0.24,	-0.24
19631,	0.02,	-0.02,	-0.03	,-0.22,	-0.23
19736,	0.02,	-0.04,	-0.05	,-0.22,	-0.24
19840,	0.02,	-0.06,	-0.07	,-0.23,	-0.22
19945,	0.02,	-0.08,	-0.09	,-0.23,	-0.24
20049,	0.02,	-0.10,	-0.12	,-0.23,	-0.23
20155,	0.02,	-0.12,	-0.14	,-0.19,	-0.22
20257,	0.02,	-0.14,	-0.15	,-0.21,	-0.19
20361,	0.02,	-0.16,	-0.17	,-0.18,	-0.21
20465,	0.02,	-0.17,	-0.19	,-0.17,	-0.17
20569,	0.02,	-0.19,	-0.20	,-0.12,	-0.14
20673,	0.02,	-0.20,	-0.22	,-0.10,	-0.12
20777,	0.02,	-0.21,	-0.23	,-0.08,	-0.09
20883,	0.02,	-0.21,	-0.24	,-0.05,	-0.06
20985,	0.02,	-0.22,	-0.24	,-0.04,	-0.06
21089,	0.02,	-0.22,	-0.25	,-0.01,	-0.04
21193,	0.02,	-0.22,	-0.25	,-0.01,	-0.04
21297,	0.01,	-0.22,	-0.25	,-0.01,	-0.01
21402,	0.01,	-0.22,	-0.25	,0.00	,-0.01
21506,	0.01,	-0.22,	-0.25	,0.00	,0.00
21611,	0.01,	-0.22,	-0.25	,0.00	,0.00
21715,	0.01,	-0.22,	-0.25	,0.00	,0.00
21821,	0.01,	-0.22,	-0.25	,0.00	,-0.03
21923,	0.01,	-0.22,	-0.26	,-0.01,	-0.04
22027,	0.01,	-0.22,	-0.26	,-0.01,	-0.03
22131,	0.01,	-0.22,	-0.26	,-0.01,	-0.01
22235,	0.01,	-0.23,	-0.26	,0.00	,-0.01
22340,	0.01,	-0.23,	-0.26	,-0.01,	-0.03
22444,	0.01,	-0.23,	-0.27	,-0.01,	-0.04
22549,	0.01,	-0.23,	-0.27	,-0.01,	-0.01
22653,	0.01,	-0.23,	-0.27	,-0.01,	-0.03
22759,	0.01,	-0.23,	-0.27	,0.00	,0.00
22861,	0.01,	-0.23,	-0.27	,0.00	,0.00
22965,	0.01,	-0.23,	-0.27	,0.00	,0.00
23069,	0.02,	-0.23,	-0.27	,0.03	,0.03
23173,	0.02,	-0.22,	-0.27	,0.06	,0.08
23278,	0.01,	-0.21,	-0.26	,0.09	,0.09
23382,	0.01,	-0.21,	-0.25	,0.10	,0.10
23487,	0.00,	-0.20,	-0.24	,0.09	,0.10
23591,	0.00,	-0.19,	-0.23	,0.09	,0.10
23697,	0.00,	-0.18,	-0.22	,0.09	,0.10
23799,	0.00,	-0.17,	-0.21	,0.09	,0.09
23903,	-0.00,	-0.16,	-0.21	,0.08	,0.09
24007,	-0.00,	-0.16,	-0.20	,0.08	,0.09
24111,	-0.00,	-0.15,	-0.19	,0.06	,0.09
24216,	-0.00,	-0.15,	-0.18	,0.04	,0.05
24320,	-0.00,	-0.14,	-0.18	,0.03	,0.03
24425,	-0.00,	-0.14,	-0.18	,0.01	,0.01
24529,	-0.00,	-0.14,	-0.18	,0.00	,0.00
24635,	-0.00,	-0.14,	-0.18	,0.00	,0.00
24737,	-0.00,	-0.14,	-0.18	,-0.03,	-0.03
24841,	-0.00,	-0.15,	-0.18	,-0.04,	-0.08
